NAME,B07001_053E,B07001_054E,B07001_055E,B07001_069E,B07001_070E,B07001_071E,B07001_085E,B07001_086E,B07001_087E,B07401_053E,B07401_054E,B07401_055E,B07401_069E,B07401_070E,B07401_071E,metropolitan statistical area/micropolitan statistical area
"Killeen-Temple, TX Metro Area",3554,4757,2723,4402,1903,1610,1255,232,516,2900,4229,3163,2241,2772,1530,28660
"Kingsport-Bristol, TN-VA Metro Area",1598,1008,831,935,1306,676,56,97,0,2443,1090,811,1007,897,492,28700
"Kingston, NY Metro Area",,,,,,,,,,913,825,73,205,267,399,28740
"Klamath Falls, OR Micro Area",,,,,,,,,,,,,,,,28900
"Knoxville, TN Metro Area",4149,2985,2427,2700,2054,2501,70,106,308,5761,3552,2377,3513,2911,1519,28940
"Kokomo, IN Metro Area",,,,,,,,,,,,,,,,29020
"La Crosse-Onalaska, WI-MN Metro Area",,,,,,,,,,1090,703,157,881,912,866,29100
"Lafayette, LA Metro Area",2726,1904,1687,409,1521,635,46,213,219,4095,1938,1392,1410,763,1766,29180
"Lafayette-West Lafayette, IN Metro Area",3038,948,569,3111,753,487,613,530,366,1717,1212,1083,2058,1884,398,29200
"LaGrange, GA-AL Micro Area",,,,,,,,,,,,,,,,29300
"Lake Charles, LA Metro Area",,,,,,,,,,1973,849,1014,635,477,978,29340
"Lake City, FL Micro Area",,,,,,,,,,,,,,,,29380
"Lake Havasu City-Kingman, AZ Metro Area",227,86,424,303,820,389,0,355,83,571,399,72,452,1468,372,29420
"Lakeland-Winter Haven, FL Metro Area",5203,3864,1497,1032,1710,1242,166,0,69,2429,2710,1609,1813,1056,270,29460
"Lancaster, PA Metro Area",1963,2259,972,1198,1895,1146,562,186,140,1561,1198,566,2614,1377,919,29540
"Lansing-East Lansing, MI Metro Area",9198,4724,1497,1602,1595,1326,398,198,411,7249,4396,1965,1596,970,1033,29620
"Laredo, TX Metro Area",,,,,,,,,,1884,1024,330,9,200,172,29700
"Las Cruces, NM Metro Area",,,,,,,,,,575,648,175,291,1449,353,29740
"Las Vegas-Henderson-Paradise, NV Metro Area",488,108,457,10558,13004,10743,1394,1447,258,885,1113,789,7218,8634,7100,29820
"Laurel, MS Micro Area",,,,,,,,,,,,,,,,29860
"Lawrence, KS Metro Area",,,,,,,,,,1105,1130,434,1206,421,270,29940
"Lawton, OK Metro Area",867,312,1,1175,2113,1177,233,381,0,872,1017,687,2222,769,573,30020
"Lebanon, NH-VT Micro Area",382,478,112,1309,1191,729,0,163,456,162,355,540,1734,1372,802,30100
"Lebanon, PA Metro Area",,,,,,,,,,422,407,230,535,277,106,30140
"Lewiston, ID-WA Metro Area",,,,,,,,,,,,,,,,30300
"Lewiston-Auburn, ME Metro Area",,,,,,,,,,,,,,,,30340
"Lexington-Fayette, KY Metro Area",6370,2764,1112,2667,2353,2490,205,0,80,3539,2339,1365,2513,1633,1036,30460
