NAME,B01001_001E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B14001_007E,B14001_008E,B14001_009E,B15012_002E,B15012_007E,B28010_003E,metropolitan statistical area/micropolitan statistical area
"Big Stone Gap, VA Micro Area",42456,356,238,1035,1791,1490,2222,1982,274,235,98,10638,13720
"Billings, MT Metro Area",179071,774,904,3687,5856,5880,8739,6202,1667,790,2414,59378,13740
"Binghamton, NY Metro Area",241874,2593,2894,5923,7021,6628,11668,19329,4190,3018,5089,76819,13780
"Birmingham-Hoover, AL Metro Area",1085330,6687,6550,19721,37169,35364,56538,50427,14030,9728,15674,302414,13820
"Bismarck, ND Metro Area",127503,731,865,2573,4842,5133,5557,5512,1381,890,1522,43666,13900
"Blackfoot, ID Micro Area",45839,326,347,717,1300,1320,3045,1716,244,178,500,11748,13940
"Blacksburg-Christiansburg, VA Metro Area",166785,3791,3010,6450,6255,4826,6458,32437,5744,1673,4494,47939,13980
"Bloomington, IL Metro Area",172578,2396,3413,4779,5686,5520,8312,24079,2977,4159,2397,53593,14010
"Bloomington, IN Metro Area",167296,3597,3961,6862,6951,5317,6134,32264,8126,2347,2638,51910,14020
"Bloomsburg-Berwick, PA Metro Area",83974,793,851,1974,2447,2401,3508,7999,741,643,659,24333,14100
"Bluefield, WV-VA Micro Area",107910,875,543,1866,3283,3059,4817,4374,702,533,814,27841,14140
"Blytheville, AR Micro Area",42126,175,347,861,1534,1279,2655,1188,305,44,199,9631,14180
"Bogalusa, LA Micro Area",46435,245,397,736,1442,1245,2363,1367,197,112,53,9019,14220
"Boise City, ID Metro Area",710743,4669,4888,13548,24991,24618,42599,36353,7529,6998,12254,218696,14260
"Bonham, TX Micro Area",34537,288,346,654,1235,1373,2076,1271,128,90,188,8612,14300
"Boone, NC Micro Area",54925,1599,1455,2644,1796,1423,1846,14099,1317,676,442,17581,14380
"Borger, TX Micro Area",21344,279,107,304,565,728,1244,917,58,148,236,5018,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",4832346,34833,34536,102856,188377,175147,237633,310365,114214,95233,160584,1542736,14460
"Boulder, CO Metro Area",322510,3986,4380,9327,13193,11053,15749,34834,8954,9352,16865,115749,14500
"Bowling Green, KY Metro Area",174498,1922,1775,5401,6162,5397,8611,15617,2337,991,1539,47582,14540
"Bozeman, MT Micro Area",108063,2037,1395,3923,5039,4342,4082,12209,2293,1348,2872,38895,14580
"Bradford, PA Micro Area",41401,230,286,888,1355,1421,2051,1723,206,141,268,12246,14620
"Brainerd, MN Micro Area",93485,338,489,1401,2450,2547,4514,2220,464,495,643,30375,14660
"Branson, MO Micro Area",55114,339,566,952,1517,1435,2679,2943,189,247,155,16962,14700
"Breckenridge, CO Micro Area",30649,277,40,803,1723,1482,1001,996,265,308,884,9431,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",265882,2037,2598,8017,11256,9677,12389,11891,2386,2804,6546,91682,14740
"Brenham, TX Micro Area",35163,330,166,567,820,707,1895,2707,132,230,242,8360,14780
"Brevard, NC Micro Area",33775,161,275,600,695,789,1486,1259,156,209,517,10649,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",943926,5318,6192,19077,26746,27432,57499,51759,13667,15366,21660,287606,14860
"Brookhaven, MS Micro Area",34320,201,140,601,1012,951,2032,1253,88,77,242,7338,15020
"Brookings, OR Micro Area",22650,228,49,226,634,434,697,262,211,179,280,8168,15060
"Brookings, SD Micro Area",34601,777,873,1527,1577,1140,1315,7116,1095,435,557,10530,15100
"Brownsville, TN Micro Area",17623,51,66,290,445,456,1055,468,164,26,26,3787,15140
"Brownsville-Harlingen, TX Metro Area",421666,3953,3228,8940,13678,12056,29675,18312,2145,1403,2926,67921,15180
"Brownwood, TX Micro Area",37855,305,195,652,1168,1101,2046,1552,257,190,257,9735,15220
"Brunswick, GA Metro Area",117400,785,676,1824,3428,3118,6175,3516,830,484,824,32805,15260
"Bucyrus-Galion, OH Micro Area",41821,235,203,815,1228,1061,2111,1022,115,160,206,12347,15340
"Buffalo-Cheektowaga, NY Metro Area",1130175,7639,7971,21447,41669,37078,56415,62263,17436,9924,16088,357684,15380
"Burley, ID Micro Area",44395,282,233,924,1429,1325,3099,1256,160,81,159,11201,15420
"Burlington, IA-IL Micro Area",46195,191,194,820,1321,1197,2298,1350,247,156,416,14012,15460
"Burlington, NC Metro Area",163324,1183,1240,2632,4914,4665,9332,10839,1039,1281,1502,46626,15500
"Burlington-South Burlington, VT Metro Area",218784,2451,2681,5604,7934,7098,10322,19805,4311,3054,5183,74199,15540
"Butte-Silver Bow, MT Micro Area",34770,361,405,854,1115,969,1479,2550,395,321,876,10716,15580
"Cadillac, MI Micro Area",48284,248,153,973,1360,1422,2485,1189,127,128,408,13334,15620
"Calhoun, GA Micro Area",57202,254,603,867,1701,1843,3146,1915,240,274,356,14161,15660
"California-Lexington Park, MD Metro Area",112290,697,873,2322,4114,3814,6246,6793,2158,1751,5045,33852,15680
"Cambridge, MD Micro Area",32138,176,94,545,959,868,1639,863,374,234,266,9184,15700
"Cambridge, OH Micro Area",39111,230,141,773,1220,1180,1993,1458,226,139,242,10620,15740
"Camden, AR Micro Area",29022,167,377,471,656,842,1450,1026,90,67,258,6485,15780
"Campbellsville, KY Micro Area",36550,227,362,720,1201,1016,2063,2094,343,139,71,9101,15820
"Cañon City, CO Micro Area",47321,59,172,1131,2204,2762,2115,942,304,349,319,13496,15860
"Canton-Massillon, OH Metro Area",399736,2530,2595,7261,12057,11185,20528,18050,3064,2060,4380,121484,15940
"Cape Coral-Fort Myers, FL Metro Area",737468,4003,3980,10391,20686,19787,32327,28789,6349,5366,10852,226174,15980
"Cheyenne, WY Metro Area",98320,834,705,2224,3987,3835,4644,4364,1112,447,1401,32661,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9508605,61788,61912,194078,347249,338221,527812,490001,151731,134649,189477,2799434,16980
"Cape Girardeau, MO-IL Metro Area",96976,1133,821,2495,3006,2803,4533,8404,1090,607,673,25824,16020
"Carbondale-Marion, IL Metro Area",137573,1408,1824,3809,5298,4643,6104,12976,3178,633,1053,37274,16060
"Carlsbad-Artesia, NM Micro Area",57732,234,405,1278,2085,2179,3122,1399,287,105,441,14908,16100
"Carroll, IA Micro Area",20281,92,20,460,499,547,1083,497,165,92,65,6667,16140
"Carson City, NV Metro Area",54773,298,201,1207,1996,1905,2868,2398,417,319,846,17577,16180
"Casper, WY Metro Area",80333,610,437,1256,3193,3148,4016,4025,686,318,832,25572,16220
"Cedar City, UT Micro Area",51213,444,812,1737,1960,1578,3190,5585,498,246,340,14422,16260
"Cedar Rapids, IA Metro Area",270056,1672,1635,5521,9190,8820,13778,12712,2541,2856,5390,87571,16300
"Cedartown, GA Micro Area",41908,249,341,860,1356,1334,2108,1449,223,80,144,9449,16340
"Celina, OH Micro Area",40884,256,248,700,1252,1164,2467,1111,204,169,377,12663,16380
"Central City, KY Micro Area",30951,211,283,612,996,907,1824,944,198,48,122,7475,16420
"Centralia, IL Micro Area",37743,156,206,688,1205,1053,1666,1120,191,78,121,10819,16460
"Centralia, WA Micro Area",78145,389,253,1448,2474,2286,4069,2749,555,395,655,23372,16500
"Chambersburg-Waynesboro, PA Metro Area",154147,718,739,2712,4494,4514,8295,4994,1260,1072,1253,46372,16540
"Champaign-Urbana, IL Metro Area",226323,4441,4122,9870,9126,7510,9231,36643,11700,3404,4581,74132,16580
"Charleston, WV Metro Area",264113,1223,1506,4440,7958,7574,12087,8218,2371,1501,2501,74081,16620
"Charleston-Mattoon, IL Micro Area",62189,625,880,1883,2090,1959,2512,7076,1039,370,493,18356,16660
"Charleston-North Charleston, SC Metro Area",774508,5759,5806,14984,30748,29173,37741,38453,10450,7655,14208,229146,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2545560,14442,15958,46984,88847,85692,141569,120359,27150,34421,46469,762130,16740
"Charlottesville, VA Metro Area",215445,2148,1909,4166,7527,7036,9538,19886,6299,3008,4712,70218,16820
"Chattanooga, TN-GA Metro Area",556209,3847,2987,10176,19257,17857,25811,28339,4762,4006,9160,158275,16860
"Chico, CA Metro Area",225817,2876,2938,6791,8352,6798,10777,25767,2419,1433,1934,69751,17020
"Chillicothe, OH Micro Area",76948,389,484,1567,2843,2783,4467,2230,460,221,375,20691,17060
"Cincinnati, OH-KY-IN Metro Area",2201741,14956,15883,42645,75748,71248,119342,112781,27273,24538,42000,673670,17140
"Clarksburg, WV Micro Area",93332,504,319,1682,2869,2817,4262,2806,546,406,761,25513,17220
"Clarksdale, MS Micro Area",23255,165,190,404,719,592,1331,1377,251,47,32,4632,17260
"Clarksville, TN-KY Metro Area",299470,2731,3117,10328,15818,12052,15194,18175,4010,1665,2143,84306,17300
"Clearlake, CA Micro Area",64195,271,420,927,1835,1814,3401,2647,328,254,527,18786,17340
"Cleveland, MS Micro Area",31848,229,162,754,1126,977,1642,2637,379,119,95,6758,17380
"Cleveland, TN Metro Area",122563,937,926,2209,3936,3486,6128,7323,872,583,1384,33042,17420
"Cleveland-Elyria, OH Metro Area",2056898,12855,11926,39395,67185,61974,109703,100496,27947,18363,35182,650813,17460
"Clewiston, FL Micro Area",40732,263,327,1156,1491,1581,2226,1283,12,14,125,6318,17500
"Clinton, IA Micro Area",46909,184,298,698,1236,1296,2430,1486,345,110,325,14079,17540
"Clovis, NM Micro Area",49732,436,685,1709,2523,2133,2630,2883,620,183,262,12802,17580
"Coamo, PR Micro Area",38906,248,199,722,1192,1100,1844,1944,250,182,237,5165,17620
"Coco, PR Micro Area",28109,102,227,642,912,717,1731,1377,161,61,89,3893,17640
"Coeur d'Alene, ID Metro Area",157322,1267,565,2621,5004,4798,8248,5906,1023,961,1684,49863,17660
"Coffeyville, KS Micro Area",32521,332,280,679,933,969,1491,1537,214,136,294,9037,17700
"Coldwater, MI Micro Area",43513,199,259,702,1412,1394,2226,1088,184,124,303,11701,17740
"College Station-Bryan, TX Metro Area",258029,7944,5378,10989,11596,8701,11028,47611,11405,2327,6438,73492,17780
"Colorado Springs, CO Metro Area",723498,6179,6565,20386,31317,28012,38693,47262,10081,13595,15765,230832,17820
"Columbia, MO Metro Area",205369,3057,4042,6578,8528,7062,8735,28175,6861,2436,3606,66483,17860
"Columbia, SC Metro Area",824278,7527,7368,18464,29676,26167,43780,53210,12415,7539,10491,238154,17900
"Columbus, GA-AL Metro Area",319402,2994,2748,7531,13875,12106,16605,19278,4836,2668,2144,82091,17980
"Cullman, AL Micro Area",82853,638,514,1184,2751,2539,4155,2521,314,241,355,19324,18980
"Columbus, IN Metro Area",82481,534,500,1695,3308,2896,4518,2665,879,1242,4450,24391,18020
"Columbus, MS Micro Area",59150,283,276,1477,2132,1826,2966,2897,433,263,451,14586,18060
"Columbus, NE Micro Area",33174,184,180,599,1082,1036,1972,1088,300,59,442,9438,18100
"Columbus, OH Metro Area",2077761,14742,14492,39688,84197,77877,110187,117458,32284,27831,39644,637258,18140
"Concord, NH Micro Area",149917,1307,813,2991,4650,4625,7655,8395,1633,1727,2511,49211,18180
"Connersville, IN Micro Area",23194,130,217,378,682,545,1136,703,55,116,105,6609,18220
"Cookeville, TN Micro Area",111197,1216,1295,2917,3825,3029,4973,9020,939,588,1280,31924,18260
"Coos Bay, OR Micro Area",63686,386,301,779,1789,1706,2945,1704,493,229,638,20016,18300
"Cordele, GA Micro Area",22713,126,330,258,454,667,1237,1238,100,28,58,4590,18380
"Corinth, MS Micro Area",37090,177,201,782,1045,1221,1870,1256,266,95,148,8905,18420
"Cornelia, GA Micro Area",44626,422,215,839,1259,1232,2274,2288,242,122,275,10083,18460
"Corning, NY Micro Area",96422,728,468,1566,2809,2924,4988,2735,519,884,1750,29649,18500
"Corpus Christi, TX Metro Area",428548,3041,2874,9122,16104,15435,23772,21456,2889,1711,4102,101586,18580
"Corsicana, TX Micro Area",48995,500,265,846,1452,1216,2870,1782,280,105,164,11017,18620
"Cortland, NY Micro Area",47865,692,869,1093,1441,1264,2317,6256,579,296,426,13789,18660
"Corvallis, OR Metro Area",91107,1996,2046,4265,3682,2669,3808,17485,3898,1607,3928,32207,18700
"Coshocton, OH Micro Area",36585,169,169,602,1104,985,1814,899,252,48,160,9367,18740
"Craig, CO Micro Area",13127,27,105,211,716,391,564,257,97,33,102,3988,18780
"Crawfordsville, IN Micro Area",38287,473,408,570,1197,1073,2050,1442,202,183,171,11122,18820
"Crescent City, CA Micro Area",27495,191,86,521,1295,1233,1555,751,102,75,201,7434,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",272056,2219,1993,5793,11453,10349,12393,11774,2725,3033,5670,85518,18880
"Crossville, TN Micro Area",59216,369,282,827,1676,1291,2211,1331,301,289,576,18874,18900
"Decatur, IN Micro Area",35376,249,193,675,1142,947,1779,696,192,104,243,8299,19540
