NAME,DP03_0057PE,DP03_0058PE,DP03_0059PE,DP03_0060PE,DP03_0062E,DP03_0063E,metropolitan statistical area/micropolitan statistical area
"Big Stone Gap, VA Micro Area",18.4,8.4,8.5,2.4,38175,52346,13720
"Billings, MT Metro Area",19.8,13.7,14.9,5.8,61278,81026,13740
"Binghamton, NY Metro Area",17.7,13.7,13.8,4.7,54295,70971,13780
"Birmingham-Hoover, AL Metro Area",17.6,12.4,14.5,5.7,57447,80637,13820
"Bismarck, ND Metro Area",17.7,13.7,20.2,7.9,71398,91821,13900
"Blackfoot, ID Micro Area",21.9,14.0,13.1,4.6,55472,67631,13940
"Blacksburg-Christiansburg, VA Metro Area",21.4,12.1,12.3,4.6,55065,71938,13980
"Bloomington, IL Metro Area",16.3,13.6,16.8,8.3,67675,88810,14010
"Bloomington, IN Metro Area",17.1,11.2,13.0,4.6,49798,68782,14020
"Bloomsburg-Berwick, PA Metro Area",18.7,12.3,12.3,4.9,51745,69352,14100
"Bluefield, WV-VA Micro Area",18.5,10.3,8.5,2.1,41715,54232,14140
"Blytheville, AR Micro Area",17.1,9.4,9.3,3.5,39962,56558,14180
"Bogalusa, LA Micro Area",14.8,9.7,8.6,2.2,37570,52104,14220
"Boise City, ID Metro Area",19.8,13.6,15.2,5.3,60568,80438,14260
"Bonham, TX Micro Area",18.0,13.7,13.8,4.4,54648,72914,14300
"Boone, NC Micro Area",15.4,11.8,12.0,4.4,47526,67569,14380
"Borger, TX Micro Area",18.3,11.8,14.2,4.6,52524,66016,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",13.5,11.8,18.5,11.3,90333,122399,14460
"Boulder, CO Metro Area",14.5,12.4,17.2,10.3,83019,115966,14500
"Bowling Green, KY Metro Area",18.9,11.9,11.7,3.5,49700,69306,14540
"Bozeman, MT Micro Area",18.7,13.7,17.4,6.4,66397,90411,14580
"Bradford, PA Micro Area",19.6,12.4,10.9,2.8,48647,64783,14620
"Brainerd, MN Micro Area",20.4,12.9,13.4,4.5,55154,73754,14660
"Branson, MO Micro Area",20.3,12.5,9.2,1.9,46031,58053,14700
"Breckenridge, CO Micro Area",18.8,17.2,22.7,8.6,79277,101084,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",18.4,15.4,19.6,7.7,75411,93122,14740
"Brenham, TX Micro Area",18.8,10.9,13.9,4.6,54971,84243,14780
"Brevard, NC Micro Area",18.9,13.6,10.8,3.0,50212,67138,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",12.8,10.7,16.3,10.3,95645,155154,14860
"Brookhaven, MS Micro Area",13.4,13.5,12.9,2.2,42606,60457,15020
"Brookings, OR Micro Area",19.1,10.6,11.8,4.8,48440,62649,15060
"Brookings, SD Micro Area",18.4,16.5,16.0,4.1,58136,72925,15100
"Brownsville, TN Micro Area",20.5,10.5,6.6,1.0,37905,51685,15140
"Brownsville-Harlingen, TX Metro Area",16.5,10.0,9.3,2.9,38758,55520,15180
"Brownwood, TX Micro Area",19.5,11.4,11.1,3.3,48365,69577,15220
"Brunswick, GA Metro Area",16.5,11.4,13.7,4.4,50671,74623,15260
"Bucyrus-Galion, OH Micro Area",20.9,11.5,9.2,2.1,44971,60193,15340
"Buffalo-Cheektowaga, NY Metro Area",17.3,12.9,14.9,6.3,57621,76986,15380
"Burley, ID Micro Area",23.9,12.0,11.8,3.3,53116,66955,15420
"Burlington, IA-IL Micro Area",19.5,13.8,13.2,3.0,51667,68478,15460
"Burlington, NC Metro Area",17.6,12.1,13.1,4.1,49688,67667,15500
"Burlington-South Burlington, VT Metro Area",17.9,14.8,18.7,7.1,71413,91430,15540
"Butte-Silver Bow, MT Micro Area",16.8,11.2,11.8,3.4,45718,62015,15580
"Cadillac, MI Micro Area",21.0,11.8,9.7,2.5,47193,61620,15620
"Calhoun, GA Micro Area",16.4,11.7,11.4,2.7,45865,63076,15660
"California-Lexington Park, MD Metro Area",14.3,14.4,22.8,12.1,89845,108493,15680
"Cambridge, MD Micro Area",17.7,14.3,13.5,2.2,52917,71968,15700
"Cambridge, OH Micro Area",19.4,12.8,9.2,2.1,45917,58828,15740
"Camden, AR Micro Area",16.8,9.7,8.7,2.6,37220,51440,15780
"Campbellsville, KY Micro Area",19.4,10.2,8.9,2.3,41514,57753,15820
"Cañon City, CO Micro Area",18.5,13.1,13.1,2.4,49409,64506,15860
"Canton-Massillon, OH Metro Area",19.0,13.1,13.5,4.6,53978,70518,15940
"Cape Coral-Fort Myers, FL Metro Area",19.6,13.2,13.3,5.2,57832,82544,15980
"Cheyenne, WY Metro Area",19.5,15.5,18.1,6.5,66910,85483,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",16.0,12.8,17.0,8.4,71770,100233,16980
"Cape Girardeau, MO-IL Metro Area",19.7,12.9,12.4,3.3,51429,68523,16020
"Carbondale-Marion, IL Metro Area",15.9,11.1,11.6,4.0,45052,63542,16060
"Carlsbad-Artesia, NM Micro Area",16.9,14.5,16.7,7.1,65328,79875,16100
"Carroll, IA Micro Area",15.2,16.0,15.5,5.6,59212,73480,16140
"Carson City, NV Metro Area",19.9,14.0,13.6,4.3,55718,75267,16180
"Casper, WY Metro Area",18.4,14.8,16.0,5.9,62772,80679,16220
"Cedar City, UT Micro Area",19.4,13.8,11.9,2.9,51807,67339,16260
"Cedar Rapids, IA Metro Area",19.3,14.4,16.9,6.4,64687,82498,16300
"Cedartown, GA Micro Area",19.1,11.4,11.5,3.2,44891,64011,16340
"Celina, OH Micro Area",22.6,15.9,16.7,4.1,62952,76115,16380
"Central City, KY Micro Area",18.9,10.2,10.4,2.7,43590,57437,16420
"Centralia, IL Micro Area",19.1,12.7,11.3,2.8,47519,60262,16460
"Centralia, WA Micro Area",18.9,14.4,13.3,4.5,53484,67876,16500
"Chambersburg-Waynesboro, PA Metro Area",19.7,16.4,16.2,5.0,63379,78332,16540
"Champaign-Urbana, IL Metro Area",16.3,11.6,13.8,5.9,53641,75275,16580
"Charleston, WV Metro Area",17.7,10.6,11.0,3.3,45225,63468,16620
"Charleston-Mattoon, IL Micro Area",18.5,12.3,11.2,3.4,48142,66833,16660
"Charleston-North Charleston, SC Metro Area",18.4,13.5,15.6,6.3,63649,88023,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",18.1,13.0,15.1,6.7,63217,89212,16740
"Charlottesville, VA Metro Area",16.5,13.6,16.7,8.6,72697,102577,16820
"Chattanooga, TN-GA Metro Area",18.2,12.1,13.1,4.5,53126,73882,16860
"Chico, CA Metro Area",16.9,11.4,12.9,5.1,52537,75746,17020
"Chillicothe, OH Micro Area",19.5,12.9,13.0,2.8,51092,65448,17060
"Cincinnati, OH-KY-IN Metro Area",17.6,13.2,16.0,7.0,63987,86633,17140
"Clarksburg, WV Micro Area",16.6,12.4,14.6,4.5,51552,68593,17220
"Clarksdale, MS Micro Area",12.6,10.3,4.4,1.7,29121,48300,17260
"Clarksville, TN-KY Metro Area",19.7,13.7,12.4,4.0,53027,67368,17300
"Clearlake, CA Micro Area",15.5,12.2,10.8,4.6,47040,66591,17340
"Cleveland, MS Micro Area",15.1,8.8,6.4,1.8,29854,47724,17380
"Cleveland, TN Metro Area",18.4,12.7,12.6,3.5,49921,67336,17420
"Cleveland-Elyria, OH Metro Area",17.4,12.4,13.9,5.5,56008,79168,17460
"Clewiston, FL Micro Area",14.5,14.3,7.5,1.8,40820,56396,17500
"Clinton, IA Micro Area",18.3,13.0,13.5,4.4,51688,66565,17540
"Clovis, NM Micro Area",19.0,11.4,10.3,2.6,45092,59084,17580
"Coamo, PR Micro Area",9.9,3.7,1.4,0.3,19692,28309,17620
"Coco, PR Micro Area",7.9,2.3,0.9,0.2,18189,24490,17640
"Coeur d'Alene, ID Metro Area",22.2,12.4,13.7,5.2,57242,74130,17660
"Coffeyville, KS Micro Area",21.3,10.5,9.5,2.6,45157,58538,17700
"Coldwater, MI Micro Area",22.5,13.1,11.3,3.2,51947,64845,17740
"College Station-Bryan, TX Metro Area",15.8,11.5,12.8,4.7,50240,73129,17780
"Colorado Springs, CO Metro Area",19.0,14.3,17.4,7.3,68687,88185,17820
"Columbia, MO Metro Area",17.4,12.8,14.2,4.8,54808,74042,17860
"Columbia, SC Metro Area",18.4,13.4,13.6,5.1,55971,75154,17900
"Columbus, GA-AL Metro Area",18.1,11.3,10.8,4.0,47571,66392,17980
"Cullman, AL Micro Area",17.9,12.3,9.4,3.6,44918,59909,18980
"Columbus, IN Metro Area",19.2,14.9,15.1,6.6,63431,80056,18020
"Columbus, MS Micro Area",17.0,15.0,11.5,4.0,50441,65188,18060
"Columbus, NE Micro Area",19.7,17.2,13.8,4.7,62305,76517,18100
"Columbus, OH Metro Area",18.2,13.5,16.5,6.7,65150,87472,18140
"Concord, NH Micro Area",17.3,15.4,18.6,8.5,75737,94698,18180
"Connersville, IN Micro Area",18.3,14.5,10.5,2.2,46175,56682,18220
"Cookeville, TN Micro Area",17.6,9.8,9.4,2.9,41913,57967,18260
"Coos Bay, OR Micro Area",19.7,11.1,10.4,2.8,45051,62178,18300
"Cordele, GA Micro Area",13.4,8.0,8.0,2.2,36042,56889,18380
"Corinth, MS Micro Area",17.0,10.8,8.6,2.7,42086,58260,18420
"Cornelia, GA Micro Area",19.3,13.7,12.1,2.8,50563,63866,18460
"Corning, NY Micro Area",18.9,12.8,14.2,4.0,53663,71516,18500
"Corpus Christi, TX Metro Area",17.5,12.9,14.5,5.7,56013,74850,18580
"Corsicana, TX Micro Area",18.4,10.9,11.2,4.6,48529,65225,18620
"Cortland, NY Micro Area",17.8,14.2,13.9,5.1,56023,74152,18660
"Corvallis, OR Metro Area",16.3,12.9,15.2,7.6,62077,84074,18700
"Coshocton, OH Micro Area",19.9,11.6,10.0,2.6,46606,58516,18740
"Craig, CO Micro Area",18.2,13.5,15.8,4.0,57229,70569,18780
"Crawfordsville, IN Micro Area",23.3,13.5,13.5,3.3,55522,67020,18820
"Crescent City, CA Micro Area",18.8,10.5,12.4,2.1,45283,63515,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",18.8,14.1,16.0,5.4,62161,82580,18880
