name_2019,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Aberdeen, SD Micro Area",-220,42824,10.4,5.11,4.9,0.71,0.41,0.64,31.48,18.8,15.4,14.6,5.1,59270,78613
"Aberdeen, WA Micro Area",325,72779,9.18,4.5,3.13,0.2,0.46,0.89,29.62,19.4,12.9,12.3,3.7,51240,66880
"Abilene, TX Metro Area",2173,170669,13.13,5.05,6.68,1.02,0.43,0.69,25.45,18.5,12.5,13.2,4.4,52511,70321
"Ada, OK Micro Area",-11,38355,11.32,5.01,6.98,1.19,0.98,0.46,24.39,17.1,12.4,14.1,3.5,50392,67130
"Adrian, MI Micro Area",389,98381,9.59,5.48,5.06,0.58,0.48,0.8,29.08,20.4,13.9,13.8,4,55450,70185
"Aguadilla-Isabela, PR Metro Area",0,301107,9.28,4.94,5.86,0.7,0.5,0.62,15.03,7.7,2.5,1.6,0.4,16470,25373
"Akron, OH Metro Area",-175,703845,10.13,4.99,6.2,1.55,0.9,1.69,31.45,17.8,13.2,13.9,5.7,57285,78314
"Alamogordo, NM Micro Area",1196,66137,13.32,4.82,4.08,0.82,0.54,1.23,26.18,18.2,9.8,9.9,2.9,41988,58345
"Albany-Lebanon, OR Metro Area",372,125048,9.68,5,3.73,0.97,0.52,1,29.84,20.3,14,13.9,4,55893,70148
"Albany-Schenectady-Troy, NY Metro Area",2739,880736,10.43,4.8,6.8,1.57,1.4,2.27,32.24,16.7,13.8,18.3,8.2,71285,91065
"Albany, GA Metro Area",144,148436,9.78,6.18,7.01,1.09,0.58,0.35,24.87,17.4,10,11.1,3.4,44844,60621
"Albemarle, NC Micro Area",305,61588,9.37,4.94,4.54,0.6,0.68,0.48,26.89,19.6,13.4,13.7,3.3,52623,66853
"Albert Lea, MN Micro Area",-146,30463,8.07,5.17,2.82,0.71,0.32,0.46,30.38,20.9,13.7,12.9,3.9,53631,67802
"Albertville, AL Micro Area",-204,95643,9.32,6.08,3.65,0.53,0.46,1.32,24.18,18.3,11,11,2.8,45983,63834
"Albuquerque, NM Metro Area",-905,912108,10.58,5.22,5.81,1.65,0.87,1.97,29.33,18,12.5,13.1,5.1,54072,73512
"Alexander City, AL Micro Area",45,51298,7.99,4.18,2.99,0.61,0.34,0.89,25.58,18.8,10.5,9.5,3.7,43941,59794
"Alexandria, LA Metro Area",-164,153310,10.48,5.77,4.2,0.94,0.25,0.53,24.19,17.4,10.4,12.1,3.6,46367,64994
"Alexandria, MN Micro Area",-75,37513,8.9,4.25,3.55,0.67,0.8,1.11,35.34,20.1,15.2,16.8,5.3,63819,83938
"Alice, TX Micro Area",-258,52240,10.23,6.53,3.34,0.53,0.41,0.39,17.3,18,10.2,9.2,4.2,41461,59423
