NAME,B07001_053E,B07001_054E,B07001_055E,B07001_069E,B07001_070E,B07001_071E,B07001_085E,B07001_086E,B07001_087E,B07401_053E,B07401_054E,B07401_055E,B07401_069E,B07401_070E,B07401_071E,metropolitan statistical area/micropolitan statistical area
"Big Stone Gap, VA Micro Area",405,262,146,99,30,100,8,0,12,239,284,158,137,242,141,13720
"Billings, MT Metro Area",848,588,321,536,924,655,41,39,59,838,569,569,935,729,435,13740
"Binghamton, NY Metro Area",2287,688,429,828,524,345,535,179,72,1366,904,375,1067,775,427,13780
"Birmingham-Hoover, AL Metro Area",6192,5757,3770,2295,2711,2787,319,345,173,5715,5116,3248,2510,3072,1919,13820
"Bismarck, ND Metro Area",1060,894,630,433,272,163,70,173,70,882,597,423,555,557,284,13900
"Blackfoot, ID Micro Area",219,185,96,143,59,152,5,0,18,365,192,56,81,77,123,13940
"Blacksburg-Christiansburg, VA Metro Area",3360,1045,563,1100,488,361,409,356,114,2536,1649,510,1277,835,431,13980
"Bloomington, IL Metro Area",2566,1000,692,742,287,160,163,120,60,1623,1246,445,849,722,382,14010
"Bloomington, IN Metro Area",3810,876,641,2009,938,422,636,488,61,2037,1221,370,1445,1446,440,14020
"Bloomsburg-Berwick, PA Metro Area",883,217,354,228,91,138,17,22,6,795,473,285,128,265,197,14100
"Bluefield, WV-VA Micro Area",415,279,261,412,365,94,44,0,25,418,298,229,236,481,112,14140
"Blytheville, AR Micro Area",375,159,134,123,123,95,0,23,0,266,123,199,107,277,82,14180
"Bogalusa, LA Micro Area",78,130,183,106,96,87,0,2,0,155,157,134,0,143,59,14220
"Boise City, ID Metro Area",3270,2407,1649,3164,3557,2534,501,213,215,2916,2284,1600,3268,2205,1253,14260
"Bonham, TX Micro Area",374,626,412,27,29,116,0,34,11,415,314,259,19,44,20,14300
"Boone, NC Micro Area",1446,408,123,363,207,174,21,18,2,1274,454,124,601,397,85,14380
"Borger, TX Micro Area",114,65,122,81,89,31,0,0,4,266,191,37,18,32,61,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",22397,28819,20356,22072,23415,14055,9455,8506,6508,23171,29664,21003,23276,24538,15054,14460
"Boulder, CO Metro Area",2734,2547,1263,4155,2676,1759,705,564,265,3254,3102,2430,2141,2030,1170,14500
"Bowling Green, KY Metro Area",1893,1159,661,1271,505,340,181,121,50,1337,678,740,675,497,485,14540
"Bozeman, MT Micro Area",783,430,271,1235,1806,499,247,64,11,839,650,189,1228,947,370,14580
"Bradford, PA Micro Area",182,61,98,171,166,67,0,0,68,207,115,74,128,248,109,14620
"Brainerd, MN Micro Area",595,434,358,245,109,179,8,3,5,479,355,227,241,103,28,14660
"Branson, MO Micro Area",176,209,79,250,199,156,0,49,0,405,169,295,264,176,32,14700
"Breckenridge, CO Micro Area",281,125,302,148,156,115,0,58,22,316,487,178,434,235,274,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",1100,1085,866,3402,1989,1051,89,103,79,1387,1648,730,1424,1344,948,14740
"Brenham, TX Micro Area",405,82,203,55,0,20,56,30,15,336,151,50,68,80,33,14780
"Brevard, NC Micro Area",142,59,65,131,154,87,0,0,17,81,102,72,122,53,27,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",1153,1325,998,3402,4052,2951,1305,1198,1103,2409,1850,1241,4811,4135,2611,14860
"Brookhaven, MS Micro Area",239,89,22,30,19,84,0,0,0,153,177,126,178,83,108,15020
"Brookings, OR Micro Area",96,15,27,3,88,90,32,0,1,86,21,15,35,35,69,15060
"Brookings, SD Micro Area",923,181,34,689,130,35,51,57,31,589,284,118,614,210,44,15100
"Brownsville, TN Micro Area",3,78,25,0,0,0,0,0,0,171,75,103,93,0,71,15140
"Brownsville-Harlingen, TX Metro Area",481,618,538,224,91,76,97,152,124,1673,1529,849,623,464,230,15180
"Brownwood, TX Micro Area",270,221,211,11,0,21,0,11,0,174,507,217,34,53,30,15220
"Brunswick, GA Metro Area",687,470,526,263,297,320,18,0,23,620,596,531,200,229,257,15260
