"METRO","migration_net","population","male_20_34_p","enrolled_9_12_p","enrolled_college_p","enrolled_grad_p","occ_com_sci_math_p","occ_eng_p","mult_desktop_laptop_p","inc_50_74","inc_75_99","inc_100_149","inc_150_199","median_income","mean_income"
"Abilene, TX Metro Area","2173","170669","13.13","5.05","6.68","1.02","0.43","0.69","25.45","18.5","12.5","13.2","4.4","52511","70321"
"Akron, OH Metro Area","-175","703845","10.13","4.99","6.2","1.55","0.9","1.69","31.45","17.8","13.2","13.9","5.7","57285","78314"
"Albany-Lebanon, OR Metro Area","372","125048","9.68","5","3.73","0.97","0.52","1","29.84","20.3","14","13.9","4","55893","70148"
"Albany-Schenectady-Troy, NY Metro Area","2739","880736","10.43","4.8","6.8","1.57","1.4","2.27","32.24","16.7","13.8","18.3","8.2","71285","91065"
"Albany, GA Metro Area","144","148436","9.78","6.18","7.01","1.09","0.58","0.35","24.87","17.4","10","11.1","3.4","44844","60621"
"Albuquerque, NM Metro Area","-905","912108","10.58","5.22","5.81","1.65","0.87","1.97","29.33","18","12.5","13.1","5.1","54072","73512"
"Alexandria, LA Metro Area","-164","153310","10.48","5.77","4.2","0.94","0.25","0.53","24.19","17.4","10.4","12.1","3.6","46367","64994"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","1331","837610","9.48","5.22","5.24","1.05","0.92","1.74","29.93","17.9","13.9","16.9","7.2","67652","88415"
"Altoona, PA Metro Area","-127","123157","9.01","4.83","3.86","0.71","0.4","0.76","30.4","18.3","13","11.8","3.4","49181","65290"
"Amarillo, TX Metro Area","-541","263776","10.96","5.39","5.52","1.1","0.56","0.91","26.91","19.3","12.4","14.1","4.7","55515","75177"
"Ames, IA Metro Area","-1733","123311","17.82","3.61","22.03","3.92","1.22","2.31","34.15","17.5","13.2","15.9","5.2","58600","75294"
"Anchorage, AK Metro Area","339","398900","12.8","5.57","5.24","1.35","0.67","1.75","29.34","17.2","13.7","20.5","10.5","83048","105968"
"Ann Arbor, MI Metro Area","3807","367000","14.12","4.82","13.7","4.87","1.91","4.77","33.55","16","12.5","16.7","8.5","72586","101787"
"Anniston-Oxford, AL Metro Area","-571","114618","9.69","4.7","5.52","0.79","0.33","0.52","26.4","18.8","11.6","11.8","3.6","47255","63417"
"Appleton, WI Metro Area","-1279","235628","9.7","5.77","4.51","0.72","0.78","1.37","32.47","19.6","15.1","18.5","6.9","67616","83714"
"Asheville, NC Metro Area","1684","454351","8.67","4.49","4.36","0.82","0.87","1.33","31.57","19","12.4","12.4","4.5","52735","72793"
"Athens-Clarke County, GA Metro Area","1751","208457","13.52","4.53","14.16","3.69","0.9","1.1","29.76","15.2","10.2","12.6","4.7","47214","70940"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","21453","5862424","10.13","5.94","5.22","1.47","1.65","2.13","29.83","17.8","13.3","16.2","7.3","68316","94723"
"Atlantic City-Hammonton, NJ Metro Area","-284","266105","9.32","5.24","5.61","1.08","0.91","1.16","29.28","16.4","11.9","16.3","7.4","62110","86110"
"Auburn-Opelika, AL Metro Area","-105","161152","14.27","4.61","14.75","3.09","0.8","1.78","29.77","16.6","11.6","13","5.5","51463","71547"
"Augusta-Richmond County, GA-SC Metro Area","1153","599616","10.44","5.45","4.71","1.05","0.75","1.43","25.49","17.9","12.5","13.2","5","53269","71447"
"Austin-Round Rock-Georgetown, TX Metro Area","19306","2114441","12.45","5.07","6.25","1.54","2.03","3.36","31","17.3","13.3","18.1","9","76844","104847"
"Bakersfield, CA Metro Area","4177","887641","12.42","6.85","5.54","0.77","0.36","0.86","21.31","17.7","11.4","13.5","5.9","53350","73478"
"Baltimore-Columbia-Towson, MD Metro Area","210","2796733","10.33","4.97","5.75","1.97","2.05","2.28","30.7","15.4","13","18.8","10.2","81598","107135"
"Bangor, ME Metro Area","502","151774","10.49","4.59","8.17","1.57","0.45","1.17","31.89","18.1","12.9","12.7","3.7","50808","67198"
"Barnstable Town, MA Metro Area","-1111","213496","7.33","4.27","3.54","0.86","1.04","2.06","37.74","17.4","13.9","18.3","8.3","74336","99954"
"Baton Rouge, LA Metro Area","677","854318","11.32","5.28","6.24","1.3","0.71","1.38","26.26","16.4","11.9","15.5","6.7","58912","81614"
"Battle Creek, MI Metro Area","241","134212","9.24","5.4","4.78","0.61","0.4","0.84","27.99","18.3","11.6","12.2","3.5","48607","64683"
"Bay City, MI Metro Area","-272","104104","9.14","5.15","4.55","0.52","0.3","1","30.99","18.8","12.3","11.7","3.6","48819","63415"
"Beaumont-Port Arthur, TX Metro Area","159","395174","10.93","5.13","4.24","0.73","0.37","1.27","24.73","17.2","11.7","14.2","6.1","54016","73859"
"Beckley, WV Metro Area","-609","118828","9.01","4.27","3.41","0.52","0.38","0.56","26.71","17.1","11.9","10.1","2.9","42817","57490"
