METRO,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Abilene, TX Metro Area",2134,171354,13.1,5.09,6.3,1.06,0.49,0.65,26.05,19,13.2,13.8,5,54857,72694
"Akron, OH Metro Area",514,703286,10.14,4.75,5.98,1.43,0.88,1.69,31.75,18.1,13.9,14.4,5.6,59313,80601
"Albany-Lebanon, OR Metro Area",33,127216,9.68,4.98,3.49,0.89,0.56,0.81,29.89,20.6,14.1,15.9,4.4,59547,71370
"Albany-Schenectady-Troy, NY Metro Area",2810,880766,10.4,4.73,6.44,1.65,1.54,2.3,32.9,17,13.5,18.7,8.5,72810,93501
"Albany, GA Metro Area",97,147431,9.84,5.75,6.98,1.13,0.56,0.32,25.85,18.3,10.9,11.7,3.1,46323,61353
"Albuquerque, NM Metro Area",-1630,915986,10.53,5.18,5.66,1.72,0.9,2.04,29.98,18.2,12.7,13.7,5.2,55370,74226
"Alexandria, LA Metro Area",5,152715,10.37,5.86,4.58,0.81,0.34,0.59,24.84,15.8,10.8,13.4,4.2,48294,68849
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1965,841265,9.52,5.23,5.11,1.15,0.94,1.91,30.17,17.5,13.7,17.7,7.8,69769,91520
"Altoona, PA Metro Area",48,122495,8.96,4.79,3.58,0.69,0.31,0.83,29.82,18.2,12.9,12.9,3.7,50856,67949
"Amarillo, TX Metro Area",-729,264345,10.88,5.4,5.21,1.04,0.53,0.84,26.77,18.5,12.8,13.9,5.1,56055,76804
"Ames, IA Metro Area",-1168,123736,17.86,3.56,21.23,3.71,1.22,2.28,33.6,18.3,12.4,17,5.3,60442,78648
"Anchorage, AK Metro Area",-325,399450,12.67,5.48,5.12,1.23,0.82,1.78,29.22,17.9,14,20.1,10.6,82890,105130
"Ann Arbor, MI Metro Area",3024,368385,14.11,4.69,13.54,5.16,2.13,4.75,33.99,15.5,13,16.7,9,75730,104918
"Anniston-Oxford, AL Metro Area",-727,114324,9.64,4.76,5.7,0.83,0.36,0.59,26.78,19.2,12.2,12.9,3.3,50128,65276
"Appleton, WI Metro Area",-1506,236834,9.76,5.68,4.59,0.76,0.79,1.5,32.49,19.6,15.3,19,7.1,70261,87362
"Asheville, NC Metro Area",1789,459344,8.69,4.44,4.38,0.86,0.98,1.36,30.79,18.7,13,12.9,4.9,54992,75637
"Athens-Clarke County, GA Metro Area",785,210810,13.28,4.48,13.75,3.63,0.92,0.89,30.76,15.4,10.4,13,5.4,49503,76015
"Atlantic City-Hammonton, NJ Metro Area",-1101,264650,9.31,5.01,5.75,1.06,1.08,1.15,29.87,15.4,12.5,16.6,7.1,63680,88111
"Auburn-Opelika, AL Metro Area",-961,163461,14.08,4.89,14.54,2.91,0.98,1.94,29.86,16,11.3,14.2,5.5,52930,74869
"Augusta-Richmond County, GA-SC Metro Area",2292,605303,10.43,5.39,4.69,1.19,0.77,1.48,26.09,18.8,12.2,13.5,5.7,55049,73352
"Austin-Round Rock-Georgetown, TX Metro Area",21465,2173804,12.44,5.03,6,1.64,2.07,3.42,31.79,16.7,13.5,19.2,9.6,80852,108042
"Bakersfield, CA Metro Area",3318,892458,12.38,6.74,5.79,0.91,0.36,0.88,21.77,17.3,12.6,13.7,5.8,54851,75161
"Bangor, ME Metro Area",273,151696,10.42,4.24,7.99,1.84,0.37,1.07,32.33,18.4,12.5,12.8,4.5,52128,69143
"Barnstable Town, MA Metro Area",-1121,213505,7.4,4.12,3.7,1,1.1,2.19,38.32,17.1,13.2,18.1,9.2,76863,104697
"Baton Rouge, LA Metro Area",196,856779,11.2,5.28,6.19,1.48,0.64,1.48,26.8,16.5,12.2,16.1,7,60043,83907
"Battle Creek, MI Metro Area",400,133943,9.25,5.45,4.88,0.56,0.47,0.96,28.39,18.5,12,12.3,4,50219,66898
"Bay City, MI Metro Area",90,103506,9.15,5.23,4.14,0.52,0.3,0.95,31.4,17.5,11.8,12.6,3.9,48290,64288
"Beaumont-Port Arthur, TX Metro Area",3,394268,10.86,5.27,4.03,0.62,0.38,1.2,25.07,17,11.8,14.5,5.9,54256,74556
"Beckley, WV Metro Area",-452,117539,8.79,4.28,3.6,0.63,0.33,0.42,26.84,16.5,12.5,11.1,2.6,43444,57592
"Bellingham, WA Metro Area",-136,224538,12.26,4.18,9.3,0.93,0.73,1.76,33.8,18.7,14.8,16.8,7,65420,82145
"Bend, OR Metro Area",2047,191749,9.16,4.55,3.73,0.73,0.72,1.53,35.09,19.1,14.2,16.2,7.3,68937,92315
"Billings, MT Metro Area",-175,180641,9.45,4.79,3.28,0.84,0.44,1.66,33.74,19.2,13.4,15.5,6.2,62722,86094
"Binghamton, NY Metro Area",2265,240473,10.38,4.7,8.02,1.77,1.3,2.08,32.3,18,13.3,13.5,5,54695,72575
"Birmingham-Hoover, AL Metro Area",1388,1088170,9.69,5.21,4.66,1.35,0.98,1.51,28.54,17.8,12.2,15,5.8,59185,83148
"Bismarck, ND Metro Area",487,128589,10.93,4.23,4.18,1.25,0.67,1.33,34.05,18.7,14.5,19.5,8.2,72886,92600
"Blacksburg-Christiansburg, VA Metro Area",331,167201,14.26,3.77,19.81,3.22,1.13,2.65,28.11,20.7,12.2,13.1,4.8,55475,72485
"Bloomington, IL Metro Area",279,172164,12.46,5.01,13.82,1.77,2.52,1.18,31.88,15.9,13.8,16.3,8.5,68037,87885
"Bloomington, IN Metro Area",3451,168172,15.74,3.61,19.15,4.37,1.37,1.54,31.55,18.2,11.5,13.3,4.3,52226,70787
"Bloomsburg-Berwick, PA Metro Area",-152,83568,9.98,4.33,8.45,1.06,0.8,0.86,29.48,18.6,12.8,13.2,4.5,53546,71678
"Boise City, ID Metro Area",4714,730483,10.22,5.88,5.14,1.18,1.02,1.81,31.47,21.2,13.8,16,5.6,64717,85592
"Boulder, CO Metro Area",3379,324682,13.02,4.81,10.94,2.64,3.06,5.05,35.71,14,12.1,17.7,10.9,87476,121262
"Bowling Green, KY Metro Area",1496,176852,11.87,4.8,8.68,1.15,0.54,0.97,27.68,18.8,12.8,12.3,3.8,51591,72185
"Bremerton-Silverdale-Port Orchard, WA Metro Area",2397,268945,12.66,4.5,4.33,0.89,1.21,2.7,34.84,18.2,15.3,20.1,8.5,78969,98809
"Bridgeport-Stamford-Norwalk, CT Metro Area",179,944306,9.01,5.94,5.46,1.54,1.64,2.31,30.94,13.4,10.3,16.6,10.2,97539,157765
"Brownsville-Harlingen, TX Metro Area",-3224,422135,10.03,7.01,4.55,0.58,0.35,0.65,17.25,17.9,10.2,9.6,3,41200,57253
"Brunswick, GA Metro Area",234,118149,8.38,5.13,3.34,0.73,0.43,0.77,27.94,17,12.7,14.4,4.7,53541,74665
"Buffalo-Cheektowaga, NY Metro Area",-93,1129018,10.24,4.87,5.33,1.52,0.98,1.46,32.22,17.5,12.9,14.9,6.6,59079,79277
"Burlington-South Burlington, VT Metro Area",2267,219764,11.94,4.4,9.03,2.08,1.29,2.39,34.03,16.8,14.2,19.1,7.5,73447,94333
"Burlington, NC Metro Area",-94,166144,9.09,5.29,6.93,0.64,0.73,0.9,28.87,17.3,12.5,14.4,4.3,51580,69461
"California-Lexington Park, MD Metro Area",1196,113182,10.49,5.67,5.29,1.72,1.63,4.07,30.95,14.4,13.3,22.2,14,95864,111381
